"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
60,"6","Safe","2024-02-23T11:07:03.380955Z",43825,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame15000.jpg",3.358,"2024-02-23T11:07:03.380981Z"
61,"6","Safe","2024-02-23T11:07:11.265475Z",43826,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame15600.jpg",7.593,"2024-02-23T11:07:11.265505Z"
62,"6","Safe","2024-02-23T11:07:15.674604Z",43827,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame16050.jpg",4.051,"2024-02-23T11:07:15.674631Z"
63,"6","Very safe","2024-02-23T11:07:19.353529Z",43828,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame16650.jpg",3.341,"2024-02-23T11:07:19.353552Z"
64,"6","Very unsafe","2024-02-23T11:07:41.168775Z",43829,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame17400.jpg",21.493,"2024-02-23T11:07:41.168801Z"
65,"6","Very safe","2024-02-23T11:07:45.166220Z",43830,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame18450.jpg",3.669,"2024-02-23T11:07:45.166248Z"
66,"6","Very unsafe","2024-02-23T11:07:53.252743Z",43831,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame18900.jpg",7.711,"2024-02-23T11:07:53.252772Z"
67,"6","Very unsafe","2024-02-23T11:07:59.829664Z",43832,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame19200.jpg",6.279,"2024-02-23T11:07:59.829691Z"
68,"6","Safe","2024-02-23T11:08:05.647149Z",43833,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame1950.jpg",5.491,"2024-02-23T11:08:05.647178Z"
69,"6","Safe","2024-02-23T11:08:13.226355Z",43834,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame19950.jpg",7.242,"2024-02-23T11:08:13.226397Z"
70,"6","Safe","2024-02-23T11:08:17.626873Z",43835,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame20250.jpg",4.037,"2024-02-23T11:08:17.626899Z"
71,"6","Unsafe","2024-02-23T11:08:24.081300Z",43836,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame21000.jpg",6.062,"2024-02-23T11:08:24.081337Z"
72,"6","Safe","2024-02-23T11:08:27.867602Z",43837,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame2250.jpg",3.312,"2024-02-23T11:08:27.867627Z"
73,"6","Very unsafe","2024-02-23T11:08:33.905936Z",43838,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame300.jpg",5.673,"2024-02-23T11:08:33.905962Z"
74,"6","Unsafe","2024-02-23T11:08:38.209905Z",43839,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame3000.jpg",3.893,"2024-02-23T11:08:38.209930Z"
75,"6","Unsafe","2024-02-23T11:08:41.821767Z",43840,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame3600.jpg",3.152,"2024-02-23T11:08:41.821794Z"
76,"6","Safe","2024-02-23T11:08:44.960180Z",43841,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame4350.jpg",2.859,"2024-02-23T11:08:44.960207Z"
77,"6","Very unsafe","2024-02-23T11:08:52.135575Z",43842,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame4800.jpg",6.908,"2024-02-23T11:08:52.135611Z"
78,"6","Very unsafe","2024-02-23T11:08:58.996455Z",43843,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame5100.jpg",6.54,"2024-02-23T11:08:58.996481Z"
79,"6","Unsafe","2024-02-23T11:09:22.953428Z",43844,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame5700.jpg",23.505,"2024-02-23T11:09:22.953459Z"
80,"6","Very unsafe","2024-02-23T12:02:54.750569Z",43845,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame5850.jpg",11.08,"2024-02-23T12:02:54.750603Z"
81,"6","","2024-02-23T12:03:05.601797Z",43846,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame6150.jpg",10.556,"2024-02-23T12:03:05.601819Z"
82,"6","Unsafe","2024-02-23T12:03:11.137640Z",43847,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame6750.jpg",5.224,"2024-02-23T12:03:11.137673Z"
83,"6","Very unsafe","2024-02-23T12:03:15.941989Z",43848,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame7500.jpg",4.468,"2024-02-23T12:03:15.942015Z"
84,"6","Very unsafe","2024-02-23T12:03:20.869176Z",43849,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame8550.jpg",4.638,"2024-02-23T12:03:20.869204Z"
85,"6","Safe","2024-02-23T12:03:23.935642Z",43850,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010049_frame9300.jpg",2.696,"2024-02-23T12:03:23.935667Z"
86,"6","Unsafe","2024-02-23T12:03:28.543484Z",43851,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame10050.jpg",4.269,"2024-02-23T12:03:28.543514Z"
87,"6","Very safe","2024-02-23T12:03:31.512826Z",43852,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame1500.jpg",2.585,"2024-02-23T12:03:31.512855Z"
88,"6","Very safe","2024-02-23T12:03:35.933181Z",43853,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame2550.jpg",4.13,"2024-02-23T12:03:35.933219Z"
89,"6","Very safe","2024-02-23T12:03:44.902084Z",43854,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame3300.jpg",8.578,"2024-02-23T12:03:44.902103Z"
90,"6","Safe","2024-02-23T12:03:47.791133Z",43855,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame4050.jpg",2.56,"2024-02-23T12:03:47.791151Z"
91,"6","Safe","2024-02-23T12:03:53.835344Z",43856,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame4650.jpg",5.746,"2024-02-23T12:03:53.835368Z"
92,"6","Unsafe","2024-02-23T12:03:58.468220Z",43857,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame5400.jpg",4.32,"2024-02-23T12:03:58.468244Z"
93,"6","Unsafe","2024-02-23T12:04:01.210532Z",43858,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame600.jpg",2.431,"2024-02-23T12:04:01.210556Z"
94,"6","Unsafe","2024-02-23T12:04:03.768921Z",43859,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame6450.jpg",2.205,"2024-02-23T12:04:03.768950Z"
95,"6","Very safe","2024-02-23T12:04:06.324460Z",43860,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame6900.jpg",2.199,"2024-02-23T12:04:06.324489Z"
96,"6","Very safe","2024-02-23T12:04:08.576366Z",43861,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame7200.jpg",1.906,"2024-02-23T12:04:08.576394Z"
97,"6","Very safe","2024-02-23T12:04:10.829057Z",43862,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame7950.jpg",1.849,"2024-02-23T12:04:10.829090Z"
98,"6","Very safe","2024-02-23T12:04:15.547556Z",43863,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame8250.jpg",4.34,"2024-02-23T12:04:15.547594Z"
99,"6","Safe","2024-02-23T12:04:18.413924Z",43864,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame9000.jpg",2.348,"2024-02-23T12:04:18.413951Z"
100,"6","Unsafe","2024-02-23T12:04:22.001832Z",43865,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010050_frame9600.jpg",3.309,"2024-02-23T12:04:22.001866Z"
101,"6","Unsafe","2024-02-23T12:04:24.989385Z",43866,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame0.jpg",2.71,"2024-02-23T12:04:24.989413Z"
102,"6","Safe","2024-02-23T12:04:29.163838Z",43867,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame10050.jpg",3.883,"2024-02-23T12:04:29.163864Z"
103,"6","Safe","2024-02-23T12:04:33.363258Z",43868,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame1050.jpg",3.875,"2024-02-23T12:04:33.363287Z"
104,"6","Safe","2024-02-23T12:04:36.945916Z",43869,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame10650.jpg",3.211,"2024-02-23T12:04:36.945941Z"
105,"6","Safe","2024-02-23T12:04:39.312617Z",43870,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame11400.jpg",2.088,"2024-02-23T12:04:39.312644Z"
106,"6","Safe","2024-02-23T12:04:43.702890Z",43871,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame12450.jpg",4.041,"2024-02-23T12:04:43.702914Z"
107,"6","Very safe","2024-02-23T12:04:47.023405Z",43872,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame12900.jpg",2.99,"2024-02-23T12:04:47.023429Z"
108,"6","Safe","2024-02-23T12:04:49.133116Z",43873,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame13200.jpg",1.701,"2024-02-23T12:04:49.133141Z"
109,"6","Safe","2024-02-23T12:04:52.921368Z",43874,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame13950.jpg",3.41,"2024-02-23T12:04:52.921395Z"
110,"6","Unsafe","2024-02-23T12:04:57.641923Z",43875,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame14550.jpg",4.339,"2024-02-23T12:04:57.641948Z"
111,"6","Unsafe","2024-02-23T12:05:00.193178Z",43876,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame15300.jpg",2.139,"2024-02-23T12:05:00.193202Z"
112,"6","Unsafe","2024-02-23T12:05:05.625029Z",43877,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame16350.jpg",5.066,"2024-02-23T12:05:05.625075Z"
113,"6","Unsafe","2024-02-23T12:05:09.608744Z",43878,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame1650.jpg",3.635,"2024-02-23T12:05:09.608769Z"
114,"6","Unsafe","2024-02-23T12:05:14.218915Z",43879,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame16800.jpg",4.259,"2024-02-23T12:05:14.218938Z"
115,"6","Safe","2024-02-23T12:05:17.699520Z",43880,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame17100.jpg",3.1,"2024-02-23T12:05:17.699546Z"
116,"6","Very safe","2024-02-23T12:05:19.928041Z",43881,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame17700.jpg",1.944,"2024-02-23T12:05:19.928066Z"
117,"6","Very safe","2024-02-23T12:05:22.211780Z",43882,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame17850.jpg",1.964,"2024-02-23T12:05:22.211807Z"
118,"6","Very safe","2024-02-23T12:05:24.150856Z",43883,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame18150.jpg",1.557,"2024-02-23T12:05:24.150888Z"
119,"6","Safe","2024-02-23T12:05:26.509421Z",43884,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame18750.jpg",1.969,"2024-02-23T12:05:26.509450Z"
120,"6","Safe","2024-02-23T12:05:30.089724Z",43885,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame19500.jpg",3.177,"2024-02-23T12:05:30.089755Z"
121,"6","Very safe","2024-02-23T12:05:34.092641Z",43886,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame20550.jpg",3.617,"2024-02-23T12:05:34.092676Z"
122,"6","Very safe","2024-02-23T12:05:36.083787Z",43887,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame2400.jpg",1.669,"2024-02-23T12:05:36.083821Z"
123,"6","Very safe","2024-02-23T12:05:39.508758Z",43888,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame3450.jpg",3.042,"2024-02-23T12:05:39.508784Z"
124,"6","Very safe","2024-02-23T12:05:42.076226Z",43889,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame3900.jpg",2.212,"2024-02-23T12:05:42.076254Z"
125,"6","Safe","2024-02-23T12:05:44.945222Z",43890,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame4500.jpg",2.581,"2024-02-23T12:05:44.945250Z"
126,"6","Very safe","2024-02-23T12:05:51.396571Z",43891,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame5550.jpg",6.124,"2024-02-23T12:05:51.396598Z"
127,"6","Safe","2024-02-23T12:05:53.952757Z",43892,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame600.jpg",2.15,"2024-02-23T12:05:53.952784Z"
128,"6","Safe","2024-02-23T12:05:56.720507Z",43893,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame6300.jpg",2.428,"2024-02-23T12:05:56.720538Z"
129,"6","Safe","2024-02-23T12:05:59.319467Z",43894,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame7350.jpg",2.285,"2024-02-23T12:05:59.319500Z"
130,"6","Unsafe","2024-02-23T12:06:03.230541Z",43895,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame7800.jpg",3.53,"2024-02-23T12:06:03.230569Z"
131,"6","Unsafe","2024-02-23T12:06:05.317499Z",43896,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame8700.jpg",1.75,"2024-02-23T12:06:05.317525Z"
132,"6","Safe","2024-02-23T12:06:08.003442Z",43897,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame8850.jpg",2.249,"2024-02-23T12:06:08.003469Z"
133,"6","Unsafe","2024-02-23T12:06:10.336953Z",43898,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame9150.jpg",1.985,"2024-02-23T12:06:10.336994Z"
134,"6","Safe","2024-02-23T12:06:13.098197Z",43899,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010051_frame9750.jpg",2.334,"2024-02-23T12:06:13.098223Z"
135,"6","Safe","2024-02-23T12:06:17.104924Z",43900,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame10350.jpg",3.627,"2024-02-23T12:06:17.104951Z"
136,"6","Unsafe","2024-02-23T12:06:20.884947Z",43901,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame1050.jpg",3.446,"2024-02-23T12:06:20.884975Z"
137,"6","Safe","2024-02-23T12:06:55.493958Z",43902,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame10800.jpg",34.238,"2024-02-23T12:06:55.493997Z"
138,"6","Safe","2024-02-23T12:06:58.671958Z",43903,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame11100.jpg",2.789,"2024-02-23T12:06:58.671990Z"
139,"6","Very safe","2024-02-23T12:07:01.843475Z",43904,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame11700.jpg",2.641,"2024-02-23T12:07:01.843502Z"
140,"6","Very safe","2024-02-23T12:07:04.706106Z",43905,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame11850.jpg",2.46,"2024-02-23T12:07:04.706130Z"
141,"6","Very safe","2024-02-23T12:07:06.860238Z",43906,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame12150.jpg",1.814,"2024-02-23T12:07:06.860266Z"
142,"6","Safe","2024-02-23T12:07:09.425094Z",43907,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame12750.jpg",2.176,"2024-02-23T12:07:09.425120Z"
143,"6","Safe","2024-02-23T12:07:11.984613Z",43908,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame13500.jpg",2.189,"2024-02-23T12:07:11.984641Z"
144,"6","Safe","2024-02-23T12:07:14.335605Z",43909,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame14250.jpg",2.017,"2024-02-23T12:07:14.335632Z"
145,"6","Safe","2024-02-23T12:07:16.380911Z",43910,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame150.jpg",1.637,"2024-02-23T12:07:16.380944Z"
146,"6","Very safe","2024-02-23T12:07:18.739295Z",43911,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame15000.jpg",2.003,"2024-02-23T12:07:18.739321Z"
147,"6","Safe","2024-02-23T12:07:23.000225Z",43912,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame15600.jpg",3.879,"2024-02-23T12:07:23.000250Z"
148,"6","Safe","2024-02-23T12:07:24.993386Z",43913,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame16050.jpg",1.702,"2024-02-23T12:07:24.993417Z"
149,"6","Very unsafe","2024-02-23T12:07:29.593339Z",43914,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame1650.jpg",4.236,"2024-02-23T12:07:29.593364Z"
150,"6","Very unsafe","2024-02-23T12:07:34.236594Z",43915,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame16650.jpg",4.332,"2024-02-23T12:07:34.236622Z"
151,"6","Safe","2024-02-23T12:07:36.974720Z",43916,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame17400.jpg",2.375,"2024-02-23T12:07:36.974754Z"
152,"6","Very safe","2024-02-23T12:07:39.427794Z",43917,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame18450.jpg",2.097,"2024-02-23T12:07:39.427832Z"
153,"6","Safe","2024-02-23T12:07:41.571434Z",43918,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame18900.jpg",1.748,"2024-02-23T12:07:41.571462Z"
154,"6","Safe","2024-02-23T12:07:45.366116Z",43919,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame19200.jpg",3.442,"2024-02-23T12:07:45.366146Z"
155,"6","Very unsafe","2024-02-23T12:07:49.952970Z",43920,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame19950.jpg",4.19,"2024-02-23T12:07:49.952986Z"
156,"6","Very unsafe","2024-02-23T12:07:52.155701Z",43921,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame20250.jpg",1.946,"2024-02-23T12:07:52.155727Z"
157,"6","Very unsafe","2024-02-23T12:07:54.013822Z",43922,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame21000.jpg",1.57,"2024-02-23T12:07:54.013847Z"
158,"6","Very safe","2024-02-23T12:07:56.214740Z",43923,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame3450.jpg",1.816,"2024-02-23T12:07:56.214765Z"
159,"6","Safe","2024-02-23T12:07:58.783642Z",43924,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame3900.jpg",2.22,"2024-02-23T12:07:58.783669Z"
160,"6","Unsafe","2024-02-23T12:08:02.358947Z",43925,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame4500.jpg",3.23,"2024-02-23T12:08:02.358971Z"
161,"6","Very unsafe","2024-02-23T12:08:04.685565Z",43926,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame5550.jpg",2.048,"2024-02-23T12:08:04.685597Z"
162,"6","Safe","2024-02-23T12:08:07.790995Z",43927,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame6300.jpg",2.813,"2024-02-23T12:08:07.791021Z"
163,"6","Safe","2024-02-23T12:08:14.658063Z",43928,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame7350.jpg",6.56,"2024-02-23T12:08:14.658099Z"
164,"6","Safe","2024-02-23T12:08:19.255746Z",43929,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame750.jpg",4.177,"2024-02-23T12:08:19.255770Z"
165,"6","Safe","2024-02-23T12:08:23.556015Z",43930,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame7800.jpg",3.99,"2024-02-23T12:08:23.556041Z"
166,"6","Very safe","2024-02-23T12:08:26.837712Z",43931,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame8100.jpg",2.87,"2024-02-23T12:08:26.837738Z"
167,"6","","2024-02-23T12:08:32.159131Z",43932,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame8700.jpg",4.959,"2024-02-23T12:08:32.159157Z"
168,"6","Safe","2024-02-23T12:08:41.487087Z",43933,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame9150.jpg",8.957,"2024-02-23T12:08:41.487116Z"
169,"6","Safe","2024-02-23T12:08:44.450463Z",43934,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010052_frame9750.jpg",2.585,"2024-02-23T12:08:44.450490Z"
170,"6","Safe","2024-02-23T12:08:52.233740Z",43935,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010053_frame10350.jpg",7.454,"2024-02-23T12:08:52.233765Z"
171,"6","Safe","2024-02-23T12:08:54.774489Z",43936,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010053_frame10800.jpg",2.239,"2024-02-23T12:08:54.774512Z"
172,"6","Safe","2024-02-23T12:08:57.559496Z",43937,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010053_frame11100.jpg",2.414,"2024-02-23T12:08:57.559527Z"
173,"6","Safe","2024-02-23T12:08:59.476460Z",43938,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010053_frame11700.jpg",1.602,"2024-02-23T12:08:59.476485Z"
174,"6","Unsafe","2024-02-23T12:09:03.081908Z",43939,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010053_frame11850.jpg",3.204,"2024-02-23T12:09:03.081939Z"
175,"6","Unsafe","2024-02-23T12:09:05.948225Z",43940,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010053_frame12150.jpg",2.427,"2024-02-23T12:09:05.948255Z"
176,"6","Unsafe","2024-02-23T12:09:10.256909Z",43941,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010053_frame12750.jpg",3.923,"2024-02-23T12:09:10.256929Z"
177,"6","Unsafe","2024-02-23T12:09:13.322555Z",43942,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010053_frame13500.jpg",2.668,"2024-02-23T12:09:13.322581Z"
178,"6","Safe","2024-02-23T12:09:17.117850Z",43943,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010053_frame14250.jpg",3.469,"2024-02-23T12:09:17.117881Z"
179,"6","Unsafe","2024-02-23T12:09:24.182400Z",43944,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010053_frame150.jpg",6.724,"2024-02-23T12:09:24.182426Z"
180,"6","Very safe","2024-02-23T12:09:26.434960Z",43945,"/data/local-files/?d=Users/admin/environments/label-studio/gopro_videos/batch_1/GX010053_frame1500.jpg",1.901,"2024-02-23T12:09:26.434990Z"
